ID	Name	Bgd count	Result count	Result gene list	Pct of bgd	Fold enrichment	Odds ratio	P-value	Benjamini	Bonferroni
GO:0050789	regulation of biological process	823	108	AFUB_000960,AFUB_001420,AFUB_001990,AFUB_005130,AFUB_005590,AFUB_005600,AFUB_007280,AFUB_011400,AFUB_013000,AFUB_014910,AFUB_015800,AFUB_015960,AFUB_016220,AFUB_018140,AFUB_018660,AFUB_019610,AFUB_019860,AFUB_020140,AFUB_020650,AFUB_021650,AFUB_022340,AFUB_022390,AFUB_023920,AFUB_024050,AFUB_026080,AFUB_026940,AFUB_027530,AFUB_028100,AFUB_028690,AFUB_028890,AFUB_029400,AFUB_030320,AFUB_030660,AFUB_031270,AFUB_032790,AFUB_033200,AFUB_035330,AFUB_036740,AFUB_037190,AFUB_037210,AFUB_037220,AFUB_037920,AFUB_038600,AFUB_039140,AFUB_039150,AFUB_039500,AFUB_039530,AFUB_040580,AFUB_041920,AFUB_042200,AFUB_042250,AFUB_042820,AFUB_043130,AFUB_046660,AFUB_049650,AFUB_051440,AFUB_053150,AFUB_054310,AFUB_054980,AFUB_055320,AFUB_055940,AFUB_057290,AFUB_058830,AFUB_059440,AFUB_060190,AFUB_060620,AFUB_061350,AFUB_063540,AFUB_063650,AFUB_063950,AFUB_064490,AFUB_065710,AFUB_066820,AFUB_067230,AFUB_067340,AFUB_068800,AFUB_069810,AFUB_072790,AFUB_072930,AFUB_073740,AFUB_074500,AFUB_079630,AFUB_080790,AFUB_081500,AFUB_082080,AFUB_085610,AFUB_085820,AFUB_088380,AFUB_088500,AFUB_089440,AFUB_089840,AFUB_089880,AFUB_089990,AFUB_090140,AFUB_090180,AFUB_090370,AFUB_093810,AFUB_094600,AFUB_096010,AFUB_096500,AFUB_098510,AFUB_098950,AFUB_099350,AFUB_100220,AFUB_100730,AFUB_101810,AFUB_101830,AFUB_101990,	13.1	1.8	2.15	2.25841437919e-10	2.12215270078e-07	2.76429920013e-07
GO:0065007	biological regulation	882	113	AFUB_000960,AFUB_001420,AFUB_001990,AFUB_005130,AFUB_005590,AFUB_005600,AFUB_007280,AFUB_011400,AFUB_013000,AFUB_014910,AFUB_015800,AFUB_015960,AFUB_016220,AFUB_017510,AFUB_018140,AFUB_018660,AFUB_019610,AFUB_019860,AFUB_020140,AFUB_020650,AFUB_021650,AFUB_022340,AFUB_022390,AFUB_023920,AFUB_024050,AFUB_024580,AFUB_024810,AFUB_026080,AFUB_026940,AFUB_027530,AFUB_028100,AFUB_028690,AFUB_028890,AFUB_029400,AFUB_030320,AFUB_030660,AFUB_031270,AFUB_032790,AFUB_033200,AFUB_035050,AFUB_035330,AFUB_036740,AFUB_037190,AFUB_037210,AFUB_037220,AFUB_037920,AFUB_038600,AFUB_039140,AFUB_039150,AFUB_039500,AFUB_039530,AFUB_040580,AFUB_041920,AFUB_042200,AFUB_042250,AFUB_042820,AFUB_043130,AFUB_046660,AFUB_049650,AFUB_051440,AFUB_052710,AFUB_053150,AFUB_054310,AFUB_054980,AFUB_055320,AFUB_055940,AFUB_057290,AFUB_058830,AFUB_059440,AFUB_060190,AFUB_060620,AFUB_061350,AFUB_063540,AFUB_063650,AFUB_063950,AFUB_064490,AFUB_065710,AFUB_066820,AFUB_067230,AFUB_067340,AFUB_068800,AFUB_069810,AFUB_072790,AFUB_072930,AFUB_073740,AFUB_074500,AFUB_079630,AFUB_080790,AFUB_081500,AFUB_082080,AFUB_085610,AFUB_085820,AFUB_088380,AFUB_088500,AFUB_089440,AFUB_089840,AFUB_089880,AFUB_089990,AFUB_090140,AFUB_090180,AFUB_090370,AFUB_093810,AFUB_094600,AFUB_096010,AFUB_096500,AFUB_098510,AFUB_098950,AFUB_099350,AFUB_100220,AFUB_100730,AFUB_101810,AFUB_101830,AFUB_101990,	12.8	1.76	2.1	3.46756977251e-10	2.12215270078e-07	4.24430540155e-07
GO:0050794	regulation of cellular process	785	102	AFUB_000960,AFUB_001990,AFUB_005130,AFUB_005590,AFUB_005600,AFUB_007280,AFUB_011400,AFUB_013000,AFUB_014910,AFUB_015800,AFUB_015960,AFUB_016220,AFUB_018140,AFUB_018660,AFUB_019610,AFUB_019860,AFUB_020140,AFUB_020650,AFUB_021650,AFUB_022340,AFUB_022390,AFUB_023920,AFUB_024050,AFUB_026080,AFUB_026940,AFUB_028100,AFUB_028690,AFUB_028890,AFUB_029400,AFUB_030320,AFUB_030660,AFUB_031270,AFUB_032790,AFUB_033200,AFUB_035330,AFUB_036740,AFUB_037190,AFUB_037210,AFUB_037220,AFUB_037920,AFUB_038600,AFUB_039140,AFUB_039150,AFUB_039500,AFUB_039530,AFUB_040580,AFUB_041920,AFUB_042200,AFUB_042820,AFUB_046660,AFUB_049650,AFUB_051440,AFUB_053150,AFUB_054310,AFUB_054980,AFUB_055940,AFUB_057290,AFUB_058830,AFUB_059440,AFUB_060190,AFUB_060620,AFUB_061350,AFUB_063540,AFUB_063650,AFUB_063950,AFUB_064490,AFUB_065710,AFUB_066820,AFUB_067230,AFUB_067340,AFUB_069810,AFUB_072790,AFUB_072930,AFUB_073740,AFUB_074500,AFUB_079630,AFUB_080790,AFUB_081500,AFUB_082080,AFUB_085610,AFUB_085820,AFUB_088380,AFUB_088500,AFUB_089440,AFUB_089840,AFUB_089880,AFUB_089990,AFUB_090140,AFUB_090180,AFUB_090370,AFUB_093810,AFUB_094600,AFUB_096010,AFUB_096500,AFUB_098510,AFUB_098950,AFUB_099350,AFUB_100220,AFUB_100730,AFUB_101810,AFUB_101830,AFUB_101990,	13.0	1.78	2.11	1.43235385883e-09	5.84400374401e-07	1.7532011232e-06
GO:0060255	regulation of macromolecule metabolic process	530	73	AFUB_000960,AFUB_001990,AFUB_005600,AFUB_007280,AFUB_011400,AFUB_013000,AFUB_014910,AFUB_015800,AFUB_015960,AFUB_016220,AFUB_018660,AFUB_020650,AFUB_021650,AFUB_022340,AFUB_022390,AFUB_023920,AFUB_024050,AFUB_026940,AFUB_027530,AFUB_028100,AFUB_029400,AFUB_030320,AFUB_030660,AFUB_031270,AFUB_033200,AFUB_035330,AFUB_037190,AFUB_037210,AFUB_037220,AFUB_038600,AFUB_039140,AFUB_039150,AFUB_039500,AFUB_040580,AFUB_041920,AFUB_042250,AFUB_042820,AFUB_051440,AFUB_053150,AFUB_054310,AFUB_055320,AFUB_055940,AFUB_057290,AFUB_058830,AFUB_060620,AFUB_063540,AFUB_063950,AFUB_064490,AFUB_065710,AFUB_066820,AFUB_067230,AFUB_067340,AFUB_069810,AFUB_072930,AFUB_073740,AFUB_074500,AFUB_080790,AFUB_081500,AFUB_082080,AFUB_085610,AFUB_085820,AFUB_088380,AFUB_089880,AFUB_090180,AFUB_090370,AFUB_094600,AFUB_096010,AFUB_096500,AFUB_098510,AFUB_099350,AFUB_100220,AFUB_101810,AFUB_101990,	13.8	1.89	2.19	4.24477379747e-08	1.18651922585e-05	5.19560312811e-05
GO:0080090	regulation of primary metabolic process	509	70	AFUB_000960,AFUB_001990,AFUB_005600,AFUB_007280,AFUB_011400,AFUB_013000,AFUB_014910,AFUB_015800,AFUB_015960,AFUB_016220,AFUB_018660,AFUB_020650,AFUB_021650,AFUB_022340,AFUB_022390,AFUB_023920,AFUB_024050,AFUB_026940,AFUB_028100,AFUB_029400,AFUB_030320,AFUB_030660,AFUB_031270,AFUB_033200,AFUB_035330,AFUB_037190,AFUB_037210,AFUB_037220,AFUB_038600,AFUB_039140,AFUB_039150,AFUB_039500,AFUB_040580,AFUB_041920,AFUB_042820,AFUB_051440,AFUB_053150,AFUB_054310,AFUB_055940,AFUB_057290,AFUB_058830,AFUB_060620,AFUB_063540,AFUB_063950,AFUB_064490,AFUB_065710,AFUB_066820,AFUB_067230,AFUB_067340,AFUB_069810,AFUB_072930,AFUB_073740,AFUB_074500,AFUB_080790,AFUB_081500,AFUB_082080,AFUB_085610,AFUB_085820,AFUB_088380,AFUB_089880,AFUB_090180,AFUB_090370,AFUB_094600,AFUB_096010,AFUB_096500,AFUB_098510,AFUB_099350,AFUB_100220,AFUB_101810,AFUB_101990,	13.8	1.89	2.18	8.88980848375e-08	1.18651922585e-05	0.000108811255841
GO:0010556	regulation of macromolecule biosynthetic process	479	67	AFUB_000960,AFUB_001990,AFUB_005600,AFUB_007280,AFUB_013000,AFUB_014910,AFUB_015800,AFUB_015960,AFUB_016220,AFUB_018660,AFUB_020650,AFUB_021650,AFUB_022340,AFUB_022390,AFUB_023920,AFUB_024050,AFUB_026940,AFUB_028100,AFUB_029400,AFUB_030320,AFUB_030660,AFUB_031270,AFUB_033200,AFUB_035330,AFUB_037190,AFUB_037210,AFUB_037220,AFUB_038600,AFUB_039150,AFUB_039500,AFUB_040580,AFUB_041920,AFUB_042820,AFUB_051440,AFUB_053150,AFUB_054310,AFUB_055940,AFUB_057290,AFUB_058830,AFUB_060620,AFUB_063540,AFUB_063950,AFUB_064490,AFUB_065710,AFUB_066820,AFUB_067230,AFUB_067340,AFUB_069810,AFUB_072930,AFUB_073740,AFUB_074500,AFUB_080790,AFUB_081500,AFUB_082080,AFUB_085610,AFUB_085820,AFUB_088380,AFUB_089880,AFUB_090370,AFUB_094600,AFUB_096010,AFUB_096500,AFUB_098510,AFUB_099350,AFUB_100220,AFUB_101810,AFUB_101990,	14.0	1.92	2.22	8.99620466981e-08	1.18651922585e-05	0.000110113545159
GO:2001141	regulation of RNA biosynthetic process	450	64	AFUB_000960,AFUB_001990,AFUB_005600,AFUB_007280,AFUB_013000,AFUB_014910,AFUB_015800,AFUB_015960,AFUB_016220,AFUB_020650,AFUB_021650,AFUB_022340,AFUB_022390,AFUB_023920,AFUB_024050,AFUB_026940,AFUB_029400,AFUB_030320,AFUB_030660,AFUB_031270,AFUB_033200,AFUB_035330,AFUB_037190,AFUB_037210,AFUB_037220,AFUB_038600,AFUB_039150,AFUB_039500,AFUB_040580,AFUB_041920,AFUB_042820,AFUB_051440,AFUB_053150,AFUB_055940,AFUB_057290,AFUB_058830,AFUB_060620,AFUB_063540,AFUB_063950,AFUB_064490,AFUB_065710,AFUB_066820,AFUB_067230,AFUB_067340,AFUB_069810,AFUB_072930,AFUB_073740,AFUB_074500,AFUB_080790,AFUB_081500,AFUB_082080,AFUB_085610,AFUB_085820,AFUB_088380,AFUB_089880,AFUB_090370,AFUB_094600,AFUB_096010,AFUB_096500,AFUB_098510,AFUB_099350,AFUB_100220,AFUB_101810,AFUB_101990,	14.2	1.95	2.26	9.64306757127e-08	1.18651922585e-05	0.000118031147072
GO:0006355	regulation of transcription, DNA-templated	450	64	AFUB_000960,AFUB_001990,AFUB_005600,AFUB_007280,AFUB_013000,AFUB_014910,AFUB_015800,AFUB_015960,AFUB_016220,AFUB_020650,AFUB_021650,AFUB_022340,AFUB_022390,AFUB_023920,AFUB_024050,AFUB_026940,AFUB_029400,AFUB_030320,AFUB_030660,AFUB_031270,AFUB_033200,AFUB_035330,AFUB_037190,AFUB_037210,AFUB_037220,AFUB_038600,AFUB_039150,AFUB_039500,AFUB_040580,AFUB_041920,AFUB_042820,AFUB_051440,AFUB_053150,AFUB_055940,AFUB_057290,AFUB_058830,AFUB_060620,AFUB_063540,AFUB_063950,AFUB_064490,AFUB_065710,AFUB_066820,AFUB_067230,AFUB_067340,AFUB_069810,AFUB_072930,AFUB_073740,AFUB_074500,AFUB_080790,AFUB_081500,AFUB_082080,AFUB_085610,AFUB_085820,AFUB_088380,AFUB_089880,AFUB_090370,AFUB_094600,AFUB_096010,AFUB_096500,AFUB_098510,AFUB_099350,AFUB_100220,AFUB_101810,AFUB_101990,	14.2	1.95	2.26	9.64306757127e-08	1.18651922585e-05	0.000118031147072
GO:1903506	regulation of nucleic acid-templated transcription	450	64	AFUB_000960,AFUB_001990,AFUB_005600,AFUB_007280,AFUB_013000,AFUB_014910,AFUB_015800,AFUB_015960,AFUB_016220,AFUB_020650,AFUB_021650,AFUB_022340,AFUB_022390,AFUB_023920,AFUB_024050,AFUB_026940,AFUB_029400,AFUB_030320,AFUB_030660,AFUB_031270,AFUB_033200,AFUB_035330,AFUB_037190,AFUB_037210,AFUB_037220,AFUB_038600,AFUB_039150,AFUB_039500,AFUB_040580,AFUB_041920,AFUB_042820,AFUB_051440,AFUB_053150,AFUB_055940,AFUB_057290,AFUB_058830,AFUB_060620,AFUB_063540,AFUB_063950,AFUB_064490,AFUB_065710,AFUB_066820,AFUB_067230,AFUB_067340,AFUB_069810,AFUB_072930,AFUB_073740,AFUB_074500,AFUB_080790,AFUB_081500,AFUB_082080,AFUB_085610,AFUB_085820,AFUB_088380,AFUB_089880,AFUB_090370,AFUB_094600,AFUB_096010,AFUB_096500,AFUB_098510,AFUB_099350,AFUB_100220,AFUB_101810,AFUB_101990,	14.2	1.95	2.26	9.64306757127e-08	1.18651922585e-05	0.000118031147072
GO:0010468	regulation of gene expression	500	69	AFUB_000960,AFUB_001990,AFUB_005600,AFUB_007280,AFUB_013000,AFUB_014910,AFUB_015800,AFUB_015960,AFUB_016220,AFUB_020650,AFUB_021650,AFUB_022340,AFUB_022390,AFUB_023920,AFUB_024050,AFUB_026940,AFUB_027530,AFUB_028100,AFUB_029400,AFUB_030320,AFUB_030660,AFUB_031270,AFUB_033200,AFUB_035330,AFUB_037190,AFUB_037210,AFUB_037220,AFUB_038600,AFUB_039150,AFUB_039500,AFUB_040580,AFUB_041920,AFUB_042250,AFUB_042820,AFUB_051440,AFUB_053150,AFUB_054310,AFUB_055320,AFUB_055940,AFUB_057290,AFUB_058830,AFUB_060620,AFUB_063540,AFUB_063950,AFUB_064490,AFUB_065710,AFUB_066820,AFUB_067230,AFUB_067340,AFUB_069810,AFUB_072930,AFUB_073740,AFUB_074500,AFUB_080790,AFUB_081500,AFUB_082080,AFUB_085610,AFUB_085820,AFUB_088380,AFUB_089880,AFUB_090370,AFUB_094600,AFUB_096010,AFUB_096500,AFUB_098510,AFUB_099350,AFUB_100220,AFUB_101810,AFUB_101990,	13.8	1.89	2.19	9.69378452495e-08	1.18651922585e-05	0.000118651922585
GO:2000112	regulation of cellular macromolecule biosynthetic process	477	66	AFUB_000960,AFUB_001990,AFUB_005600,AFUB_007280,AFUB_013000,AFUB_014910,AFUB_015800,AFUB_015960,AFUB_016220,AFUB_020650,AFUB_021650,AFUB_022340,AFUB_022390,AFUB_023920,AFUB_024050,AFUB_026940,AFUB_028100,AFUB_029400,AFUB_030320,AFUB_030660,AFUB_031270,AFUB_033200,AFUB_035330,AFUB_037190,AFUB_037210,AFUB_037220,AFUB_038600,AFUB_039150,AFUB_039500,AFUB_040580,AFUB_041920,AFUB_042820,AFUB_051440,AFUB_053150,AFUB_054310,AFUB_055940,AFUB_057290,AFUB_058830,AFUB_060620,AFUB_063540,AFUB_063950,AFUB_064490,AFUB_065710,AFUB_066820,AFUB_067230,AFUB_067340,AFUB_069810,AFUB_072930,AFUB_073740,AFUB_074500,AFUB_080790,AFUB_081500,AFUB_082080,AFUB_085610,AFUB_085820,AFUB_088380,AFUB_089880,AFUB_090370,AFUB_094600,AFUB_096010,AFUB_096500,AFUB_098510,AFUB_099350,AFUB_100220,AFUB_101810,AFUB_101990,	13.8	1.9	2.19	1.72160081714e-07	1.91567218198e-05	0.000210723940018
